Temperature,Humidity,Wind_Speed,General_Diffuse_Flows,Diffuse_Flows,Power_Zone_1,Power_Zone_2,Power_Zone_3,Month,Hour
4.805,76.2,0.081,0.059,0.134,20421.26582,12908.20669,14590.84337,1,3
4.212,78.3,0.081,0.117,0.082,21393.41772,13575.68389,14862.6506,1,5
4.304,76.0,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819,1,7
4.489,74.3,0.082,0.081,0.119,18167.08861,11551.36778,11600.96386,1,7
4.509,74.5,0.084,6.643,6.494,19837.97468,11945.28875,11178.79518,1,8
5.996,69.85,4.93,282.7,31.96,26393.92405,16059.57447,14671.80723,1,10
14.38,54.42,0.076,470.5,37.92,29802.53165,18102.12766,16522.40964,1,12
15.8,54.06,0.075,449.2,41.52,29911.89873,18036.47416,16823.13253,1,14
15.64,57.26,0.077,409.0,44.9,29571.64557,17894.22492,16753.73494,1,15
15.11,59.53,0.076,97.6,120.6,35793.41772,22238.29787,23942.16867,1,17
11.99,70.8,0.075,0.055,0.134,30701.77215,20337.99392,19905.54217,1,23
10.84,78.4,0.073,0.062,0.156,23914.93671,16132.5228,16106.0241,1,0
11.12,77.9,0.073,0.055,0.145,23118.98734,15304.55927,15307.95181,1,1
10.42,81.3,0.075,0.073,0.13,21685.06329,14250.45593,14625.54217,1,1
11.14,75.0,0.081,0.07,0.156,20725.06329,13783.58663,14128.19277,1,2
10.34,80.6,0.078,0.088,0.119,19740.75949,13353.19149,13636.62651,1,3
10.41,81.4,0.078,0.095,0.134,20166.07595,13196.35258,13549.87952,1,4
10.39,81.5,0.074,0.088,0.119,20214.68354,13280.24316,13648.19277,1,4
10.16,81.9,0.075,0.073,0.122,20141.77215,13287.53799,13717.59036,1,4
14.94,58.46,0.077,381.4,41.13,27773.16456,20655.31915,16343.13253,1,11
15.27,55.93,0.076,440.2,41.83,28684.55696,20870.51672,16857.83133,1,11
15.11,57.86,0.074,469.9,43.43,29674.93671,19608.51064,18373.01205,1,12
15.26,58.8,0.076,482.3,44.1,29905.82278,19706.99088,18986.0241,1,12
15.41,58.13,0.076,481.1,43.82,29140.25316,19462.61398,18621.68675,1,13
15.59,55.76,0.077,399.4,40.61,28721.01266,21559.87842,16643.85542,1,15
15.38,58.02,0.074,302.9,121.3,29091.64557,20936.17021,16210.12048,1,15
15.23,59.76,0.077,260.6,238.0,29267.8481,20750.15198,16059.75904,1,16
13.42,68.89,0.073,0.055,0.096,40939.74684,26531.30699,25353.25301,1,20
13.42,68.52,0.075,0.055,0.093,41316.4557,26921.58055,25937.3494,1,20
12.96,68.62,0.075,0.102,0.063,35191.89873,23401.82371,22768.19277,1,22
12.88,69.33,0.075,0.062,0.152,34754.43038,22869.30091,22236.14458,1,22
12.77,69.86,0.075,0.11,0.1,33909.87342,22271.12462,21727.22892,1,22
11.48,76.8,0.077,0.07,0.145,24947.8481,17190.27356,16811.56627,1,0
11.27,73.8,0.077,0.055,0.159,21575.6962,14155.6231,14266.98795,1,2
12.78,71.8,0.078,0.055,0.156,20980.25316,13944.07295,13769.63855,1,3
12.34,73.2,0.076,0.088,0.152,20931.64557,13706.99088,13775.42169,1,3
11.92,75.2,0.077,0.059,0.182,20330.12658,13462.61398,13486.26506,1,3
10.74,78.6,0.077,0.048,0.189,20390.88608,13739.81763,13688.6747,1,5
11.22,80.0,0.076,0.077,0.171,21454.17722,14144.68085,14301.68675,1,5
10.15,80.8,0.08,0.055,0.193,24534.68354,16034.04255,14342.16867,1,7
9.9,81.5,0.076,0.048,0.171,24534.68354,16639.51368,13445.78313,1,7
8.68,83.1,0.083,0.834,0.849,24522.53165,16249.24012,11838.07229,1,8
13.02,77.5,0.084,245.9,42.92,30756.4557,19728.87538,14521.44578,1,10
13.88,72.2,0.084,319.0,43.25,31844.05063,20994.52888,15053.49398,1,10
15.18,64.23,0.077,440.5,45.02,33113.92405,21479.63526,16094.45783,1,11
15.18,64.77,0.075,470.7,44.71,34019.24051,21811.55015,16435.66265,1,12
15.57,62.7,0.077,490.1,44.76,33302.27848,21472.34043,16915.66265,1,13
15.44,64.93,0.074,348.4,72.7,32336.20253,21443.16109,16632.28916,1,15
15.18,67.73,0.075,208.8,240.7,32196.4557,21049.24012,16499.27711,1,16
15.09,67.66,0.076,184.9,218.7,32263.29114,21224.31611,16713.25301,1,16
8.63,83.5,0.073,0.044,0.111,27153.41772,18350.15198,17725.3012,1,0
8.23,80.7,0.076,0.059,0.089,22772.65823,14378.1155,14845.3012,1,1
6.593,81.6,0.09,272.8,39.92,29899.74684,21202.43161,15093.9759,1,10
